Customer,"UCSB"
Date Range,06/01/2022 - 06/30/2022
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,06/08/2022 18:00,1363,1417,1hour,UCSB > UCSB Library
UCSB Library,06/08/2022 19:00,1117,1250,1hour,UCSB > UCSB Library
UCSB Library,06/08/2022 20:00,1073,1114,1hour,UCSB > UCSB Library
UCSB Library,06/08/2022 21:00,1156,1212,1hour,UCSB > UCSB Library
UCSB Library,06/08/2022 22:00,1042,1131,1hour,UCSB > UCSB Library
UCSB Library,06/08/2022 23:00,953,1035,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 00:00,671,790,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 01:00,571,668,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 02:00,476,518,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 03:00,413,485,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 04:00,351,367,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 05:00,297,348,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 06:00,298,314,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 07:00,323,370,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 08:00,419,491,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 09:00,605,782,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 10:00,852,947,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 11:00,911,958,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 12:00,899,941,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 13:00,1125,1251,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 14:00,1229,1323,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 15:00,1251,1328,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 16:00,1166,1243,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 17:00,1032,1116,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 18:00,888,988,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 19:00,816,919,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 20:00,723,754,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 21:00,682,724,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 22:00,593,686,1hour,UCSB > UCSB Library
UCSB Library,06/09/2022 23:00,474,551,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 00:00,404,464,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 01:00,323,392,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 02:00,291,336,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 03:00,195,218,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 04:00,172,203,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 05:00,161,172,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 06:00,173,195,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 07:00,227,302,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 08:00,309,368,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 09:00,400,436,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 10:00,472,551,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 11:00,493,556,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 12:00,548,591,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 13:00,595,658,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 14:00,594,653,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 15:00,629,706,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 16:00,520,580,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 17:00,508,559,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 18:00,434,522,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 19:00,291,375,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 20:00,230,277,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 21:00,239,406,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 22:00,198,243,1hour,UCSB > UCSB Library
UCSB Library,06/10/2022 23:00,192,218,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 00:00,175,203,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 01:00,158,160,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 02:00,158,160,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 03:00,171,216,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 04:00,170,214,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 05:00,131,160,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 06:00,169,211,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 07:00,199,215,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 08:00,207,216,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 09:00,169,217,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 10:00,163,167,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 11:00,179,214,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 12:00,176,230,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 13:00,170,198,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 14:00,176,193,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 15:00,179,184,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 16:00,175,181,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 17:00,76,173,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 18:00,56,59,1hour,UCSB > UCSB Library
UCSB Library,06/11/2022 19:00,47,54,1hour,UCSB > UCSB Library
