Customer,"UCSB"
Date Range,05/01/2022 - 05/31/2022
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,05/11/2022 20:00,1281,1728,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 21:00,1203,1271,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 22:00,1033,1230,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 23:00,774,1050,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 00:00,537,712,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 01:00,346,410,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 02:00,203,228,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 03:00,147,193,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 04:00,100,112,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 05:00,95,102,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 06:00,76,83,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 07:00,84,119,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 08:00,211,391,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 09:00,671,830,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 10:00,1005,1396,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 11:00,1584,1728,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 12:00,1684,1922,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 13:00,1948,2284,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 14:00,2403,2489,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 15:00,2160,2528,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 16:00,1952,2067,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 17:00,1423,1880,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 18:00,1083,1237,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 19:00,952,992,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 20:00,894,948,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 21:00,921,984,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 22:00,816,922,1hour,UCSB > UCSB Library
UCSB Library,05/12/2022 23:00,697,790,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 00:00,438,582,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 01:00,256,298,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 02:00,189,221,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 03:00,114,146,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 04:00,81,85,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 05:00,74,87,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 06:00,35,69,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 07:00,24,38,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 08:00,101,272,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 09:00,425,629,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 10:00,790,920,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 11:00,960,1115,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 12:00,1051,1138,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 13:00,1105,1164,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 14:00,1138,1199,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 15:00,1195,1241,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 16:00,1145,1189,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 17:00,879,1048,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 18:00,740,838,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 19:00,595,667,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 20:00,490,571,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 21:00,471,508,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 22:00,385,420,1hour,UCSB > UCSB Library
UCSB Library,05/13/2022 23:00,286,388,1hour,UCSB > UCSB Library
UCSB Library,05/14/2022 00:00,163,249,1hour,UCSB > UCSB Library
UCSB Library,05/14/2022 01:00,98,127,1hour,UCSB > UCSB Library
UCSB Library,05/14/2022 02:00,90,94,1hour,UCSB > UCSB Library
UCSB Library,05/14/2022 03:00,86,93,1hour,UCSB > UCSB Library
UCSB Library,05/14/2022 04:00,80,86,1hour,UCSB > UCSB Library
UCSB Library,05/14/2022 05:00,79,81,1hour,UCSB > UCSB Library
